level_0,level_1,level_2,signal
0,0,0,2.428315237726125e-06
0,0,1,2.712641111833283e-06
0,0,2,2.102344146301044e-06
0,0,3,7.607234351450575e-07
0,0,4,-7.526719512786959e-07
0,0,5,-2.1302236154056874e-06
0,0,6,-3.3305361781162937e-06
0,0,7,-4.678120309696462e-06
0,0,8,-6.1619249217592154e-06
0,0,9,-7.424483302786696e-06
0,1,0,6.074904012649518e-07
0,1,1,8.741129152635638e-07
0,1,2,6.439563190275114e-07
0,1,3,2.6717266735191235e-07
0,1,4,2.028093179640817e-07
0,1,5,5.875866551168834e-07
0,1,6,1.0943212309297076e-06
0,1,7,1.2848626475271788e-06
0,1,8,9.453199850105397e-07
0,1,9,2.416269844241619e-07
1,0,0,-7.963862417891432e-06
1,0,1,-8.07251647735039e-06
1,0,2,-7.090542309171218e-06
1,0,3,-6.0491825016559275e-06
1,0,4,-5.998243157842093e-06
1,0,5,-7.011075026520713e-06
1,0,6,-8.249152720194721e-06
1,0,7,-8.643972379670996e-06
1,0,8,-7.873562689383515e-06
1,0,9,-6.410903101856306e-06
1,1,0,-7.3147720466706445e-06
1,1,1,-4.752015300125111e-06
1,1,2,-2.3087466959864335e-06
1,1,3,-1.3964553753608239e-06
1,1,4,-2.2124357531070444e-06
1,1,5,-3.914067987469106e-06
1,1,6,-5.311306892527183e-06
1,1,7,-5.906380189817475e-06
1,1,8,-5.909197440647667e-06
1,1,9,-5.856098228783878e-06
2,0,0,4.303862506744265e-06
2,0,1,5.403664989474824e-06
2,0,2,6.678010785810809e-06
2,0,3,7.889134694101432e-06
2,0,4,8.777835449851458e-06
2,0,5,9.218357582570723e-06
2,0,6,9.031857323841858e-06
2,0,7,8.238882705869266e-06
2,0,8,7.176883189082266e-06
2,0,9,6.613160902225015e-06
2,1,0,7.637251951681477e-06
2,1,1,9.544730852558921e-06
2,1,2,1.1877124229244874e-05
2,1,3,1.4194687748900615e-05
2,1,4,1.587055472557328e-05
2,1,5,1.6612143619725754e-05
2,1,6,1.6447791376304494e-05
2,1,7,1.5639316057999668e-05
2,1,8,1.4381668220839173e-05
2,1,9,1.2959342177351445e-05
3,0,0,-4.433759088572249e-06
3,0,1,-4.1719239273814315e-06
3,0,2,-5.04057796441414e-06
3,0,3,-6.078732712552624e-06
3,0,4,-6.139669949873088e-06
3,0,5,-5.0341703922457295e-06
3,0,6,-3.688742854534541e-06
3,0,7,-3.1758267614648e-06
3,0,8,-3.515269106714339e-06
3,0,9,-3.548572256604354e-06
3,1,0,1.6739403030677181e-06
3,1,1,3.1142310499704406e-06
3,1,2,4.709971906020818e-06
3,1,3,5.645594221730257e-06
3,1,4,5.667881207830364e-06
3,1,5,5.1000039853156195e-06
3,1,6,4.478820186141992e-06
3,1,7,4.027378659870529e-06
3,1,8,3.6206693578797475e-06
3,1,9,3.0148240051811406e-06
4,0,0,5.2066542460177715e-06
4,0,1,4.8225993659920885e-06
4,0,2,4.61832794432365e-06
4,0,3,4.6099718706771255e-06
4,0,4,4.547765342531953e-06
4,0,5,4.203937049967229e-06
4,0,6,3.5388654014066286e-06
4,0,7,2.8185394023048037e-06
4,0,8,2.2873039028810914e-06
4,0,9,1.978063512441251e-06
4,1,0,3.376602449245414e-06
4,1,1,4.305218017667986e-06
4,1,2,4.710271675478989e-06
4,1,3,4.698579939014537e-06
4,1,4,4.2480977477688e-06
4,1,5,3.1320182200170036e-06
4,1,6,1.535020987966876e-06
4,1,7,-2.618118383357115e-08
4,1,8,-9.083491157820315e-07
4,1,9,-1.059417461290191e-06
5,0,0,2.6894688690520136e-07
5,0,1,-2.3319906069512704e-07
5,0,2,-4.823022622095233e-08
5,0,3,-1.1600575784087897e-09
