level_0,level_1,level_2,signal
0,0,0,2.428315237726125e-06
0,0,1,2.712641111833283e-06
0,0,2,2.102344146301044e-06
0,0,3,7.607234351450575e-07
0,0,4,-7.526719512786959e-07
0,0,5,-2.1302236154056874e-06
0,0,6,-3.3305361781162937e-06
0,0,7,-4.678120309696462e-06
0,0,8,-6.1619249217592154e-06
0,0,9,-7.424483302786696e-06
0,1,0,6.074904012649518e-07
0,1,1,8.741129152635638e-07
0,1,2,6.439563190275114e-07
0,1,3,2.6717266735191235e-07
0,1,4,2.028093179640817e-07
0,1,5,5.875866551168834e-07
0,1,6,1.0943212309297076e-06
0,1,7,1.2848626475271788e-06
0,1,8,9.453199850105397e-07
0,1,9,2.416269844241619e-07
1,0,0,-1.0255701607119966e-06
1,0,1,-2.8669625380392186e-06
1,0,2,-4.532391607661978e-06
1,0,3,-5.3038730465219985e-06
1,0,4,-5.076489181349823e-06
1,0,5,-4.351526214391383e-06
1,0,6,-3.5937494056997724e-06
1,0,7,-3.0777315718528856e-06
1,0,8,-2.8535407607272747e-06
1,0,9,-3.1278734707003225e-06
1,1,0,-3.926392732255424e-06
1,1,1,-5.883248101227887e-06
1,1,2,-7.4478223923734915e-06
1,1,3,-7.796183606599398e-06
1,1,4,-7.018239662090161e-06
1,1,5,-5.594156474812424e-06
1,1,6,-3.943095420803433e-06
1,1,7,-2.3963464984824354e-06
1,1,8,-1.5221533657849799e-06
1,1,9,-1.934048879490962e-06
2,0,0,1.4651823439685788e-06
2,0,1,-4.095126830265651e-07
2,0,2,-1.7832888526912976e-06
2,0,3,-2.1747022725597358e-06
2,0,4,-1.802312026055988e-06
2,0,5,-1.6445327009423848e-06
2,0,6,-2.71865796507199e-06
2,0,7,-5.623560802756782e-06
2,0,8,-9.766638831949065e-06
2,0,9,-1.3662727927885618e-05
2,1,0,1.2352282831106821e-05
2,1,1,1.0850686683422871e-05
2,1,2,8.309437667905354e-06
2,1,3,6.336665050021037e-06
2,1,4,6.321415370230232e-06
2,1,5,8.149807521046063e-06
2,1,6,9.89982014489092e-06
2,1,7,9.31881309286785e-06
2,1,8,5.815489289744596e-06
2,1,9,1.3300476182771489e-06
3,0,0,-7.963862417891432e-06
3,0,1,-8.07251647735039e-06
3,0,2,-7.090542309171218e-06
3,0,3,-6.0491825016559275e-06
3,0,4,-5.998243157842093e-06
3,0,5,-7.011075026520713e-06
3,0,6,-8.249152720194721e-06
3,0,7,-8.643972379670996e-06
3,0,8,-7.873562689383515e-06
3,0,9,-6.410903101856306e-06
3,1,0,-7.3147720466706445e-06
3,1,1,-4.752015300125111e-06
3,1,2,-2.3087466959864335e-06
3,1,3,-1.3964553753608239e-06
3,1,4,-2.2124357531070444e-06
3,1,5,-3.914067987469106e-06
3,1,6,-5.311306892527183e-06
3,1,7,-5.906380189817475e-06
3,1,8,-5.909197440647667e-06
3,1,9,-5.856098228783878e-06
4,0,0,9.606846249333618e-07
4,0,1,9.12169266434813e-07
4,0,2,1.5586365639471306e-06
4,0,3,2.1295449504491116e-06
4,0,4,1.6772956109714968e-06
4,0,5,-7.941868152665453e-08
4,0,6,-2.125823661871886e-06
4,0,7,-3.1969874293094483e-06
4,0,8,-2.5919031417886258e-06
4,0,9,-8.537644261997013e-07
4,1,0,6.0159219161185894e-06
4,1,1,6.861167741966138e-06
4,1,2,8.071446183969394e-06
4,1,3,8.630764333617154e-06
4,1,4,7.470242528499922e-06
4,1,5,4.5997495138747535e-06
4,1,6,1.8011253173514313e-06
4,1,7,1.0347425968149968e-06
4,1,8,2.918313519161209e-06
4,1,9,5.878204043536692e-06
5,0,0,4.303862506744265e-06
5,0,1,5.403664989474824e-06
5,0,2,6.678010785810809e-06
