level_0,level_1,level_2,epoch_signal
3,2,4,1.085106939879908e-05
3,2,5,1.0403751521566903e-05
3,2,6,9.684366667596497e-06
3,2,7,8.719088639603384e-06
3,2,8,7.507817029370992e-06
3,2,9,6.058833695777075e-06
3,2,10,4.423908169411616e-06
3,2,11,2.5234560247047765e-06
3,2,12,2.12525745593686e-07
3,2,13,-2.4368277444636853e-06
3,2,14,-4.7078447797806145e-06
3,2,15,-5.4731740325882875e-06
3,2,16,-3.989782331126292e-06
3,2,17,-8.131741318020838e-07
3,2,18,2.370250184716659e-06
3,2,19,3.934243854436e-06
3,2,20,3.683765735654394e-06
3,2,21,2.9034816612426246e-06
3,2,22,3.1208823667225587e-06
3,2,23,4.5786536020538365e-06
3,2,24,6.097910318119976e-06
4,0,0,6.4714165146394285e-06
4,0,1,7.832819508924252e-06
4,0,2,9.338798693540298e-06
4,0,3,1.065667472594119e-05
4,0,4,1.1286978574322215e-05
4,0,5,1.0692187220393673e-05
4,0,6,9.189131515590569e-06
4,0,7,7.378769188011349e-06
4,0,8,5.967935155948588e-06
4,0,9,4.872169374562529e-06
4,0,10,3.858494222383859e-06
4,0,11,2.6249918328247673e-06
4,0,12,1.542356608542805e-06
4,0,13,8.451284100797999e-07
4,0,14,6.040987135725601e-07
4,0,15,1.2241141758348807e-07
4,0,16,-1.0122054996681751e-06
4,0,17,-2.8010399963861697e-06
4,0,18,-4.233681892733005e-06
4,0,19,-4.470210909166721e-06
4,0,20,-3.0827359755744924e-06
4,0,21,-8.400111380640213e-07
4,0,22,1.3787824378505057e-06
4,0,23,2.7472899501040937e-06
4,0,24,3.486927432395367e-06
4,1,0,5.599930674861082e-06
4,1,1,5.216516806710761e-06
4,1,2,5.172552923565587e-06
4,1,3,5.158656935709072e-06
4,1,4,4.478107869880949e-06
4,1,5,2.6438447487787487e-06
4,1,6,1.2358193728211193e-07
4,1,7,-2.3048880737071937e-06
4,1,8,-4.006194708961169e-06
4,1,9,-5.091742135321603e-06
4,1,10,-5.758732453933654e-06
4,1,11,-6.085587756120975e-06
4,1,12,-5.7310896353539385e-06
4,1,13,-4.752704697119327e-06
4,1,14,-3.6474186888511275e-06
4,1,15,-3.3925218809445848e-06
4,1,16,-4.338577192432465e-06
4,1,17,-6.071018378377233e-06
4,1,18,-7.405424659128108e-06
4,1,19,-7.625443799893464e-06
4,1,20,-6.764399687042826e-06
4,1,21,-5.782954844787974e-06
4,1,22,-5.417028013428158e-06
4,1,23,-5.900031189108731e-06
4,1,24,-6.521312122317955e-06
4,2,0,-1.2419790622048683e-06
4,2,1,-4.926049842386782e-07
4,2,2,3.478296600395343e-07
4,2,3,4.877707469783089e-07
4,2,4,-6.07843103315555e-07
4,2,5,-2.5850357290921463e-06
4,2,6,-4.480207347481806e-06
4,2,7,-5.624078487148745e-06
4,2,8,-6.285338261458474e-06
4,2,9,-7.323734571393348e-06
4,2,10,-9.199678743905255e-06
4,2,11,-1.1282477666875012e-05
4,2,12,-1.2246628649016894e-05
4,2,13,-1.1210487885976027e-05
4,2,14,-8.593242947237459e-06
4,2,15,-5.854904607919485e-06
4,2,16,-4.366303320728105e-06
4,2,17,-4.364350817473244e-06
4,2,18,-4.918226550744496e-06
4,2,19,-4.7885620719678626e-06
4,2,20,-3.4513294454396426e-06
4,2,21,-1.4123450665828034e-06
4,2,22,2.574614011048175e-07
4,2,23,7.078859303856033e-07
4,2,24,-1.7771480125855238e-07
5,0,0,-8.958316490655357e-07
5,0,1,-1.6158021266831398e-06
5,0,2,-2.2171838612178725e-06
5,0,3,-2.6630701937681273e-06
5,0,4,-3.111382148724155e-06
5,0,5,-3.499779684116574e-06
5,0,6,-4.273168151495689e-06
5,0,7,-5.589890944597548e-06
5,0,8,-7.540369664221921e-06
5,0,9,-9.324259874818992e-06
5,0,10,-1.0190659820149238e-05
5,0,11,-9.429780906882596e-06
5,0,12,-7.440662122378677e-06
5,0,13,-4.86444267125901e-06
5,0,14,-2.705162882485991e-06
5,0,15,-1.226699278138986e-06
5,0,16,-7.124804703137487e-07
5,0,17,-1.0425039518671697e-06
5,0,18,-2.457810697040959e-06
5,0,19,-4.486169631037594e-06
5,0,20,-6.4866465493443825e-06
5,0,21,-7.208840650591486e-06
5,0,22,-6.388217393273e-06
5,0,23,-4.42831121522745e-06
5,0,24,-2.8501863623182113e-06
5,1,0,1.7923994431536558e-06
5,1,1,1.7602726337284425e-06
5,1,2,2.062370762168832e-06
5,1,3,2.237842487979661e-06
5,1,4,1.173318304812389e-06
5,1,5,-1.367052957355368e-06
5,1,6,-4.95525353579694e-06
5,1,7,-8.397579347352746e-06
5,1,8,-1.1107419579260713e-05
5,1,9,-1.2760657599820307e-05
5,1,10,-1.3550016066804765e-05
5,1,11,-1.3138173576640686e-05
5,1,12,-1.1421367696246021e-05
5,1,13,-8.397422186665938e-06
5,1,14,-5.164660328425992e-06
5,1,15,-2.848094888270849e-06
5,1,16,-2.4301073061132024e-06
5,1,17,-3.478068590070211e-06
5,1,18,-5.09473946610543e-06
5,1,19,-6.0146198834841295e-06
5,1,20,-6.057440713671083e-06
5,1,21,-5.3755397748981e-06
5,1,22,-4.66813769570105e-06
5,1,23,-3.894079112615683e-06
5,1,24,-3.110063017589047e-06
5,2,0,7.4033080830266025e-06
5,2,1,8.486311834567215e-06
5,2,2,9.02342448884136e-06
5,2,3,8.591745555138147e-06
5,2,4,7.315837246881234e-06
5,2,5,5.6677487853998125e-06
5,2,6,3.909634018832951e-06
5,2,7,1.9047618763648808e-06
5,2,8,-6.577685878954802e-07
5,2,9,-3.6624089807491217e-06
5,2,10,-6.3471380635669525e-06
5,2,11,-7.572991420671214e-06
5,2,12,-6.654211128100172e-06
5,2,13,-3.883281227557453e-06
5,2,14,-5.375890476060329e-07
5,2,15,1.92098744398523e-06
5,2,16,2.656334475906427e-06
5,2,17,1.8947678027360555e-06
5,2,18,4.899560354055571e-07
5,2,19,-7.161480532280343e-07
5,2,20,-1.467118203470149e-06
5,2,21,-1.915702552093417e-06
5,2,22,-2.25100760588294e-06
5,2,23,-2.296572017828144e-06
5,2,24,-1.7504420872494327e-06
6,0,0,4.365988271758716e-06
6,0,1,5.342827068977274e-06
6,0,2,4.196163052938513e-06
6,0,3,1.4563166804330578e-06
6,0,4,-1.6258305792122044e-06
6,0,5,-4.251626223466376e-06
6,0,6,-6.337476319307107e-06
6,0,7,-8.069619190985249e-06
6,0,8,-9.282474049618079e-06
6,0,9,-9.622912473479842e-06
6,0,10,-9.00249155847343e-06
6,0,11,-7.906089858382415e-06
6,0,12,-6.908755415855055e-06
6,0,13,-6.1298801487573245e-06
6,0,14,-5.035610668076919e-06
6,0,15,-3.1350311941099338e-06
6,0,16,-6.007591399273566e-07
6,0,17,1.6248750640642835e-06
6,0,18,2.641542453856374e-06
6,0,19,2.3723758557653177e-06
6,0,20,1.7389206081956898e-06
6,0,21,1.8317543708794466e-06
6,0,22,3.029202570933607e-06
6,0,23,4.6752830499825326e-06
6,0,24,5.780650185179339e-06
6,1,0,2.349942668389722e-07
6,1,1,1.928119337744926e-06
6,1,2,2.862115113105477e-06
6,1,3,2.264283864040432e-06
6,1,4,-1.6496115013317053e-07
6,1,5,-4.1766438411560845e-06
6,1,6,-8.767431557903907e-06
6,1,7,-1.242980088468344e-05
6,1,8,-1.3810969745717489e-05
6,1,9,-1.2715692181094617e-05
6,1,10,-1.0349105441091288e-05
6,1,11,-8.554979413170059e-06
6,1,12,-8.34658288727079e-06
6,1,13,-9.212042778863276e-06
6,1,14,-9.62256104472184e-06
6,1,15,-8.539200043657048e-06
6,1,16,-6.231021781867693e-06
6,1,17,-3.906613404984412e-06
6,1,18,-2.3533217595803063e-06
6,1,19,-1.2243149467932888e-06
6,1,20,5.10610296592712e-07
6,1,21,3.243236326977406e-06
6,1,22,6.146945179999919e-06
6,1,23,7.730330368443657e-06
6,1,24,7.202114755272711e-06
6,2,0,-1.848975107617305e-06
6,2,1,-6.251208198973285e-07
6,2,2,4.4635713248964307e-07
6,2,3,6.436248991532468e-07
6,2,4,-3.7737350447322333e-07
6,2,5,-2.3368036984595085e-06
6,2,6,-4.614038403448289e-06
6,2,7,-6.5222769143119725e-06
6,2,8,-7.72511350675655e-06
6,2,9,-8.244089381215561e-06
6,2,10,-8.449067662176751e-06
6,2,11,-8.691148961948586e-06
6,2,12,-9.11378970096878e-06
6,2,13,-9.39412289327566e-06
6,2,14,-9.036672552662677e-06
6,2,15,-7.671104800177435e-06
6,2,16,-5.490786215851622e-06
6,2,17,-3.055627576089502e-06
6,2,18,-9.210420240291135e-07
6,2,19,9.592441672032293e-07
6,2,20,3.062807491170167e-06
6,2,21,5.811982278122301e-06
6,2,22,8.809697596314512e-06
6,2,23,1.0974714113953917e-05
6,2,24,1.1154800615950308e-05
7,0,0,1.2081735801936844e-05
7,0,1,1.7367926452203485e-05
7,0,2,2.051879158550935e-05
7,0,3,2.0564241583019365e-05
7,0,4,1.8487146283308357e-05
7,0,5,1.5825091631339362e-05
7,0,6,1.4286228028200236e-05
7,0,7,1.3829727164726361e-05
7,0,8,1.3602223973847535e-05
7,0,9,1.211801809271638e-05
7,0,10,9.316267235260712e-06
7,0,11,5.792006863790665e-06
7,0,12,2.9139779578532527e-06
7,0,13,9.419514894333888e-07
7,0,14,-7.21022114988251e-08
7,0,15,-6.234739068668171e-07
7,0,16,-1.3983579018810774e-07
7,0,17,1.7686387118168352e-06
7,0,18,5.673060234537313e-06
7,0,19,1.0829427062553196e-05
7,0,20,1.6582690542864655e-05
7,0,21,2.1846119814587675e-05
7,0,22,2.6498228939223715e-05
7,0,23,2.988367385988941e-05
7,0,24,3.17300499954082e-05
7,1,0,8.26842745979767e-06
7,1,1,1.3189499637607477e-05
7,1,2,1.664133476210884e-05
7,1,3,1.7394518622488057e-05
7,1,4,1.582426653773362e-05
7,1,5,1.3469488677114077e-05
7,1,6,1.2266138402054283e-05
7,1,7,1.2452122067784844e-05
7,1,8,1.2675911609842053e-05
7,1,9,1.0830260159712434e-05
7,1,10,6.439667145521075e-06
7,1,11,7.669859883811098e-07
7,1,12,-3.870890999151631e-06
7,1,13,-6.414599288379389e-06
7,1,14,-7.151068091082468e-06
7,1,15,-7.342927820269804e-06
7,1,16,-7.303769343402523e-06
7,1,17,-6.593699898104367e-06
7,1,18,-4.205195063057467e-06
7,1,19,-1.1227684975851287e-07
7,1,20,5.160992881935914e-06
7,1,21,1.045737460238672e-05
7,1,22,1.5125384605029738e-05
7,1,23,1.8390114111119715e-05
7,1,24,1.9889070541341904e-05
7,2,0,7.812860101699605e-06
7,2,1,1.364811489439554e-05
7,2,2,1.7268317135789497e-05
7,2,3,1.769012332245891e-05
7,2,4,1.57825752999831e-05
7,2,5,1.3121984570707893e-05
7,2,6,1.1596370486581628e-05
7,2,7,1.1276582685928159e-05
7,2,8,1.1159094158602416e-05
7,2,9,9.444088350148323e-06
7,2,10,5.872111156539784e-06
7,2,11,1.1808461925711378e-06
7,2,12,-2.8880813691269618e-06
7,2,13,-5.722464351271678e-06
7,2,14,-7.19798783205245e-06
7,2,15,-7.998842312238622e-06
