level_0,level_1,level_2,epoch_signal
1,2,11,7.002515589855842e-06
1,2,12,9.812927019788725e-06
1,2,13,1.1357742356344941e-05
1,2,14,1.1382706167291194e-05
1,2,15,1.0998583620858691e-05
1,2,16,1.0558909137214109e-05
1,2,17,1.01515631889226e-05
1,2,18,9.245873071890294e-06
1,2,19,8.395390739269787e-06
1,2,20,8.120132527474424e-06
1,2,21,9.036919207629473e-06
1,2,22,1.0258265108924582e-05
1,2,23,1.0911859297975661e-05
1,2,24,1.0181884287540006e-05
2,0,0,-1.8655120862281815e-06
2,0,1,-1.0430524681299825e-06
2,0,2,1.4473726184530757e-06
2,0,3,3.6932015614269526e-06
2,0,4,4.123829483037135e-06
2,0,5,2.127791626536907e-06
2,0,6,-5.97901507531804e-07
2,0,7,-2.4366473007121647e-06
2,0,8,-2.396180242848474e-06
2,0,9,-1.6462187222456552e-06
2,0,10,-1.3293936915768299e-06
2,0,11,-2.2061140372397602e-06
2,0,12,-3.0017123655671227e-06
2,0,13,-2.481681477238334e-06
2,0,14,3.407077934590747e-07
2,0,15,4.405361025580927e-06
2,0,16,8.506166468000655e-06
2,0,17,1.1201233595348648e-05
2,0,18,1.2704065200653896e-05
2,0,19,1.326445364368265e-05
2,0,20,1.3772318403103474e-05
2,0,21,1.4069976378343644e-05
2,0,22,1.455421173746454e-05
2,0,23,1.5133318309330465e-05
2,0,24,1.6612014107678292e-05
2,1,0,7.742005370205347e-06
2,1,1,7.784691958972318e-06
2,1,2,1.0427287789607981e-05
2,1,3,1.3699496252641023e-05
2,1,4,1.5322985064860207e-05
2,1,5,1.3733076252722383e-05
2,1,6,1.0501651715511852e-05
2,1,7,7.61828352989865e-06
2,1,8,6.733646396536697e-06
2,1,9,6.7054469671912025e-06
2,1,10,6.249793025196238e-06
2,1,11,4.390387832183581e-06
2,1,12,2.8129692928702645e-06
2,1,13,3.1534073529341415e-06
2,1,14,6.720281189796047e-06
2,1,15,1.2065032385793063e-05
2,1,16,1.7557102808182725e-05
2,1,17,2.1280715326304957e-05
2,1,18,2.3517480063046958e-05
2,1,19,2.4466883406480894e-05
2,1,20,2.5116085099854838e-05
2,1,21,2.5124827890654318e-05
2,1,22,2.509716178900989e-05
2,1,23,2.504217592130863e-05
2,1,24,2.6034037388437048e-05
2,2,0,-7.13024211729306e-06
2,2,1,-8.397855106150433e-06
2,2,2,-9.528134392993663e-06
2,2,3,-9.72834473885923e-06
2,2,4,-9.186658417560656e-06
2,2,5,-8.843455857360076e-06
2,2,6,-9.229294074623569e-06
2,2,7,-1.0346258358834434e-05
2,2,8,-1.1662984789915154e-05
2,2,9,-1.2946232356726857e-05
2,2,10,-1.4100970503050391e-05
2,2,11,-1.5146451413019764e-05
2,2,12,-1.5568430767482974e-05
2,2,13,-1.4778330152810811e-05
2,2,14,-1.238246932450636e-05
2,2,15,-8.918099907636267e-06
2,2,16,-5.355209657627487e-06
2,2,17,-2.786420414534142e-06
2,2,18,-1.4901613434765778e-06
2,2,19,-1.1827790507401475e-06
2,2,20,-1.0189336687237382e-06
2,2,21,-4.0874011274063187e-07
2,2,22,1.0514972175112509e-06
2,2,23,3.067376792619962e-06
2,2,24,5.103691076891549e-06
3,0,0,7.5898039761808345e-06
3,0,1,6.656684953725857e-06
3,0,2,6.888347082038924e-06
3,0,3,7.780073908605781e-06
3,0,4,7.918171586180798e-06
3,0,5,6.330264390012462e-06
3,0,6,3.437410538316302e-06
3,0,7,5.631985998001671e-07
3,0,8,-1.2683060238304511e-06
3,0,9,-2.136369798792914e-06
3,0,10,-2.8077627994229124e-06
3,0,11,-3.827028251818801e-06
3,0,12,-4.944663015533804e-06
3,0,13,-5.58705914185191e-06
3,0,14,-5.569313808562252e-06
3,0,15,-5.358124042493276e-06
3,0,16,-5.408814184755111e-06
3,0,17,-5.516875253659676e-06
3,0,18,-4.76769608041098e-06
3,0,19,-2.461960721426989e-06
3,0,20,9.84318754605809e-07
3,0,21,3.912662636234985e-06
3,0,22,4.5929392174463965e-06
3,0,23,2.628609439004446e-06
3,0,24,-3.630019418300651e-07
3,1,0,1.3126555327349233e-05
3,1,1,1.3747117395935464e-05
3,1,2,1.548180175964611e-05
3,1,3,1.7281365838369214e-05
3,1,4,1.742227640119979e-05
3,1,5,1.5073259643905005e-05
3,1,6,1.1328441347000244e-05
3,1,7,8.099728559232927e-06
3,1,8,6.5416680692384835e-06
3,1,9,5.977394264785859e-06
3,1,10,4.893075020089e-06
3,1,11,2.3592907733969873e-06
3,1,12,-9.063710557256701e-07
3,1,13,-3.4118264519741967e-06
3,1,14,-4.062919894356017e-06
3,1,15,-3.1012925781502207e-06
3,1,16,-1.3616996714609623e-06
3,1,17,5.428408338902082e-07
3,1,18,2.8685348725030732e-06
3,1,19,5.923890509672693e-06
3,1,20,9.374116192325816e-06
3,1,21,1.1827298470760484e-05
3,1,22,1.2024686472625454e-05
3,1,23,9.878297861947458e-06
3,1,24,7.188258421385785e-06
3,2,0,1.2800036538206582e-05
3,2,1,1.3716018497437511e-05
3,2,2,1.466392590396368e-05
3,2,3,1.523164560199373e-05
3,2,4,1.4551222774032094e-05
