response,offset_task,prime,pause_trigger,offset_prime,duration_measured_task,correct_resp,task_trigger,ID,rt,duration_frames_task,delay_frames_after,trial_type,duration_measured_prime,prime_trigger,pause_trigger_t,delay_frames_before,onset_prime,task_type,onset_task,gender,age,trial_number,key_t,duration_frames_prime
a,62.65001099999063,left,33,57.68304979999084,2.9953533000079915,1,23,Group6,0.562495400023181,180,40,left,0.03132559999357909,13,58.183203599997796,118,57.65172419999726,1,59.654657699982636,female,,11,60.21715310000582,2
a,67.01698789998773,no_prime,51,63.349724500003504,2.9952437999891117,1,41,Group6,0.6792260000074748,180,118,none,0.03112980001606047,15,63.8502090999973,40,63.31859469998744,1,64.02174409999861,female,,12,64.70097010000609,2
l,73.98382729999139,right,34,69.0167809999839,2.995345000002999,1,24,Group6,0.4458765000163112,180,40,right,0.03127989999484271,14,69.51712169998791,118,68.98550109998905,2,70.98848229998839,female,,13,71.4343588000047,2
l,79.65068339998834,red,32,74.68364569998812,2.9949993999907747,1,22,Group6,0.46205979998921975,180,40,red,0.03145260000019334,12,75.1838917999994,118,74.65219309998793,2,76.65568399999756,female,,14,77.11774379998678,2
a,84.01767259999178,no_prime,51,80.35032309999224,2.995503699989058,1,41,Group6,0.6124776999931782,180,118,none,0.03060860000550747,15,80.85087049999856,40,80.31971449998673,1,81.02216890000273,female,,15,81.6346465999959,2
l,89.6845737999829,red,32,86.01749410000048,2.995209499989869,1,22,Group6,0.39562940000905655,180,118,red,0.031754600000567734,12,86.5176458999922,40,85.98573949999991,2,86.68936429999303,female,,16,87.08499370000209,2
l,95.35128559998702,red,32,91.68405310000526,2.995089799980633,1,22,Group6,0.4456683999742381,180,118,red,0.03131230000872165,12,92.18474779999815,40,91.65274079999654,2,92.35619580000639,female,,17,92.80186419998063,2
a,101.01813969999785,blue,31,97.35112069998286,2.9951386000029743,1,21,Group6,0.5456177000014577,180,118,blue,0.031828599981963634,11,97.85135539999465,40,97.3192921000009,1,98.02300109999487,female,,18,98.56861879999633,2
a,106.68506309998338,no_prime,51,103.01795149999089,2.99496289997478,1,41,Group6,0.5622250999731477,180,118,none,0.031142499996349216,15,103.51839789998485,40,102.98680899999454,1,103.6901002000086,female,,19,104.25232529998175,2
a,112.35192099999404,left,33,108.68519339998602,2.9951197000045795,1,23,Group6,0.4955678000114858,180,118,left,0.03157049999572337,13,109.1854389999935,40,108.6536228999903,1,109.35680129998946,female,,20,109.85236910000094,2
