"","c.1.39422790001845..0.628934799984563..0.528906699997606..0.545814599987352.."
"1",1.39422790001845
"2",0.628934799984563
"3",0.528906699997606
"4",0.545814599987352
"5",0.595719400007511
"6",0.745571200008271
"7",0.561672999989241
"8",0.429116100014653
"9",0.545897600008175
"10",0.529063299996778
"11",0.562495400023181
"12",0.679226000007475
"13",0.445876500016311
"14",0.46205979998922
"15",0.612477699993178
"16",0.395629400009057
"17",0.445668399974238
"18",0.545617700001458
"19",0.562225099973148
"20",0.495567800011486
"21",0.445823100017151
"22",0.429132599994773
"23",0.595757300005062
"24",0.578943000000436
"25",0.595730400003958
"26",0.578696900018258
"27",0.578854599996703
"28",0.545606600004248
"29",0.562377499998547
"30",0.545722400012892
"31",0.662640900001861
"32",0.528324300015811
"33",0.562105899996823
"34",0.52903229999356
"35",0.528961700008949
"36",0.478770700021414
"37",0.528913600021042
"38",0.562423500028672
"39",0.69565199999488
"40",0.562255600001663
"41",0.412630699982401
"42",0.562917900009779
"43",0.512484700011555
"44",0.512366500013741
"45",0.495709499984514
"46",0.72900110000046
"47",0.545655100024305
"48",0.545671100000618
"49",0.596282400016207
"50",0.429399599990575
"51",0.529249899991555
"52",0.495408699993277
"53",0.579140499990899
"54",0.545490599994082
"55",0.512339200009592
"56",0.629137900017668
"57",0.595625600020867
"58",0.612362999992911
"59",0.612882699992042
"60",0.595770100015216
"61",0.628975400002673
"62",0.528819300001487
"63",0.529258199996548
"64",0.579366900026798
"65",0.512397100013914
"66",0.57916260001366
"67",0.495757900003809
"68",0.629217700014124
"69",0.595638999977382
"70",0.545744100003503
"71",0.546019899979001
"72",0.762105999980122
"73",0.628885799989803
"74",0.612433899979806
"75",0.662488999980269
"76",0.529239900002722
"77",0.54589149999083
"78",0.578949499991722
"79",0.579098399990471
"80",0.495590199978324
"81",0.49537990000681
"82",0.579029999993509
"83",0.545568600005936
"84",0.395781400002306
"85",0.495553399989149
"86",0.678929500019876
"87",0.51228359999368
"88",0.563153900002362
"89",0.563109699985944
"90",0.579000300000189
"91",0.462657299998682
"92",0.545644199999515
"93",0.512271399988094
"94",0.545666699996218
"95",0.495439799997257
"96",0.629060899984324
"97",0.545671100000618
"98",0.56210340000689
"99",0.645600799995009
"100",0.612530600017635
"101",0.495781200006604
"102",0.645641599985538
"103",0.462517300009495
"104",0.462480000016512
"105",0.462131100008264
"106",0.545662799995625
"107",0.92912470002193
"108",0.645600499992725
"109",0.429067699995358
"110",0.578938799997559
"111",0.462650200002827
"112",0.495804100006353
"113",0.530464300012682
"114",0.479022599989548
"115",0.562257400015369
"116",0.645690700010164
"117",0.678936799988151
"118",0.545708899997408
"119",1.26217659999384
"120",0.66164150001714
